flow_id,alpha_k*pi/4,alpha_prime_k*pi/4,r,bprime,b,count,prob
2,"(-3, -3)","(1, 3)","(1, 0)","(0, 0)","(1, 0)",650,0.0325
2,"(-3, -3)","(1, 3)","(1, 0)","(0, 1)","(1, 1)",3571,0.17855
2,"(-3, -1)","(-3, -3)","(0, 1)","(1, 0)","(1, 1)",640,0.032
2,"(-3, -1)","(-3, -3)","(0, 1)","(1, 1)","(1, 0)",3803,0.19015
2,"(-3, -1)","(-3, -1)","(0, 0)","(0, 0)","(0, 0)",617,0.03085
2,"(-3, -1)","(-3, -1)","(0, 0)","(0, 1)","(0, 1)",95,0.00475
2,"(-3, -1)","(-3, 1)","(0, 0)","(1, 0)","(1, 0)",3581,0.17905
2,"(-3, -1)","(-3, 1)","(0, 0)","(1, 1)","(1, 1)",616,0.0308
2,"(-3, -1)","(-3, 3)","(0, 1)","(0, 0)","(0, 1)",97,0.00485
2,"(-3, -1)","(-3, 3)","(0, 1)","(0, 1)","(0, 0)",605,0.03025
2,"(-3, -1)","(1, -3)","(1, 1)","(0, 0)","(1, 1)",603,0.03015
2,"(-3, -1)","(1, -3)","(1, 1)","(0, 1)","(1, 0)",3697,0.18485
2,"(-3, -1)","(1, -1)","(1, 0)","(1, 0)","(0, 0)",594,0.0297
2,"(-3, -1)","(1, -1)","(1, 0)","(1, 1)","(0, 1)",107,0.00535
2,"(-3, -1)","(1, 1)","(1, 0)","(0, 0)","(1, 0)",3591,0.17955
2,"(-3, -1)","(1, 1)","(1, 0)","(0, 1)","(1, 1)",642,0.0321
2,"(-3, -1)","(1, 3)","(1, 1)","(1, 0)","(0, 1)",110,0.0055
2,"(-3, -1)","(1, 3)","(1, 1)","(1, 1)","(0, 0)",602,0.0301
2,"(-3, 1)","(-3, -3)","(0, 1)","(0, 0)","(0, 1)",104,0.0052
2,"(-3, 1)","(-3, -3)","(0, 1)","(0, 1)","(0, 0)",608,0.0304
2,"(-3, 1)","(-3, -1)","(0, 0)","(1, 0)","(1, 0)",3622,0.1811
2,"(-3, 1)","(-3, -1)","(0, 0)","(1, 1)","(1, 1)",649,0.03245
2,"(-3, 1)","(-3, 1)","(0, 0)","(0, 0)","(0, 0)",621,0.03105
2,"(-3, 1)","(-3, 1)","(0, 0)","(0, 1)","(0, 1)",99,0.00495
2,"(-3, 1)","(-3, 3)","(0, 1)","(1, 0)","(1, 1)",611,0.03055
2,"(-3, 1)","(-3, 3)","(0, 1)","(1, 1)","(1, 0)",3607,0.18035
2,"(-3, 1)","(1, -3)","(1, 1)","(1, 0)","(0, 1)",102,0.0051
